Designator,Manufacturer Part Number,Quantity
C1,CC0402JRNPO9BN330,1
C2,TAJC476K006RNJ,1
C3,CC0402JRNPO9BN101,1
L1,LQW15AN47NJ00D,1
R1,RC0402JR-070RL,1
RF1,320110048,1
U1,SN10-12,1
